country,year,pharma_imports
BMU,2020,20782480.77
BMU,2021,33030657.63
BMU,2022,32245691.61
BMU,2023,34722440.62
BMU,2024,37819431.96
BOL,2014,171695134.14
BOL,2015,184571986.21
BOL,2016,185655635.19
BOL,2017,193680623.98
BOL,2018,206047382.62
BOL,2019,223611507.3
BOL,2020,238740315.83
BOL,2021,256831100.45
BOL,2022,248493775.0
BOL,2023,246060888.0
BOL,2024,253851638.0
BRA,2014,7622480683.0
BRA,2015,6632333301.0
BRA,2016,6547244966.0
BRA,2017,6727103665.0
BRA,2018,7443801646.0
BRA,2019,7534488301.0
BRA,2020,7323151275.0
BRA,2021,11380260241.0
BRA,2022,10288555713.0
BRA,2023,11244376560.0
BRA,2024,12587924236.0
BRA,2025,14819037359.0
BRB,2014,70181738.0
BRB,2015,63374463.0
BRB,2016,61843768.0
BRB,2017,51318828.5
BRB,2018,50306758.5
BRB,2019,45476620.0
BRB,2020,44945355.5
BRB,2021,47094986.5
BRB,2022,48051943.0
BRB,2023,45951340.0
BRB,2024,47299449.5
BRN,2014,75422676.0
BRN,2015,73131466.0
BRN,2016,66802144.0
BRN,2017,63454859.275
BRN,2018,78028660.716
BRN,2019,100674210.86
BRN,2020,169956229.22
BRN,2021,150969941.96
BRN,2022,142743715.464
BRN,2023,226912610.937
BRN,2024,112134594.006
BTN,2016,5180178.698
BTN,2017,5514144.8
BTN,2018,6322627.773
BTN,2019,11980294.31
BTN,2020,6000382.451
BTN,2022,23028041.212
BTN,2023,15193243.82
BTN,2025,7819092.941
BWA,2014,110029841.538
BWA,2015,124810191.363
BWA,2016,184191837.0
BWA,2017,170598942.313
BWA,2018,114914741.735
BWA,2019,129665285.827
BWA,2020,132184865.593
BWA,2021,191061638.409
BWA,2022,125697830.551
BWA,2023,138301412.336
CAF,2014,47674486.0
CAF,2015,33306140.0
CAF,2016,42337607.0
CAF,2017,29983505.525
CAF,2018,18755991.0
CAF,2019,74830613.176
CAF,2020,52649553.355
CAF,2021,41918187.157
CAF,2022,59747818.789
