country,year,pharma_imports,fuel_imports,oil_exports,conflict_incidence,conflict_intensity,regime_score,leader_change,gdp_growth,inflation,unemployment
ABW,1995.0,,,,,,,,2.54714368704694,3.36139107320899,
ABW,1996.0,,,,,,,,1.18578851134656,3.22528797213979,
ABW,1997.0,,,,,,,,7.04687499241221,2.99994809778412,
ABW,1998.0,,,,,,,,1.99198444906199,1.86948853615541,
ABW,1999.0,,,,,,,,1.2380418420716,2.28037198258753,
ABW,2000.0,27909151.0,,,,,,,7.62292064930222,4.04402131190513,
ABW,2001.0,22397910.0,,,,,,,4.1820016304779,2.88360430316264,
ABW,2002.0,22597636.0,,,,,,,-0.944953481157384,3.31524678585423,
ABW,2003.0,24511832.0,,,,,,,1.11050459944282,3.65636507938418,
ABW,2004.0,25919284.0,,,,,,,7.29372807096192,2.52912946932762,
ABW,2005.0,26057593.0,,,,,,,-0.383137672063768,3.39778677828806,
ABW,2006.0,25981746.0,,,,,,,1.12741146411624,3.60802438784541,
ABW,2007.0,28370729.0,,,,,,,3.0895443848509,5.39256784475517,
ABW,2008.0,28483371.0,,,,,,,1.83575517191368,8.95598705177784,
ABW,2009.0,31174014.0,58794895.0,12973.0,,,,,-11.6777413693852,-2.13542872046937,
ABW,2010.0,31242180.0,70030076.0,132550.0,,,,,-2.73345679250639,2.07814071860787,
ABW,2011.0,32029622.0,93503308.0,16310.0,,,,,3.36923718421511,4.31629742195203,
ABW,2012.0,31711690.0,96374312.0,81309.0,,,,,-1.04079988436683,0.627471992893373,
ABW,2013.0,28505796.0,93973011.0,5678.0,,,,,6.43146080719245,-2.37206524252261,
ABW,2014.0,29420914.0,93024544.0,283007.0,,,,,1.42609864257801,0.421440918881214,
ABW,2015.0,26505133.0,60271547.0,157607.0,,,,,3.61147995361162,0.474763597342641,
ABW,2016.0,28149769.94,45841412.83,100344.99,,,,,1.23433537363427,-0.931195987079561,
ABW,2017.0,30664885.052,65925477.661,102291.617,,,,,3.49342985290626,-1.02828178762012,
ABW,2018.0,33024842.519,76706439.484,41458.658,,,,,3.21247111920076,3.62604141352961,
ABW,2019.0,35294897.753,63090147.702,8550.279,,,,,1.22511225158814,4.25746204335428,
ABW,2020.0,35318033.507,45556837.09,29907.262,,,,,-23.8979898352395,,
ABW,2021.0,40658454.734,60587516.464,25235.754,,,,,14.7306159219273,,
ABW,2022.0,35546575.476,99060077.933,24293.854,,,,,10.6364309604414,,
ABW,2023.0,37073610.65,91135588.1,66885.474,,,,,7.70679839650956,,
ABW,2024.0,,,,,,,,6.81077669324542,,
AFE,1995.0,,,,,,,,4.35461769115784,12.2885912601426,7.77389399169686
AFE,1996.0,,,,,,,,5.49911124792519,9.70658632526504,7.6816226939442
AFE,1997.0,,,,,,,,3.85673898320249,10.2495987403066,7.64190636706094
AFE,1998.0,,,,,,,,1.7751720856126,7.49525542305607,7.68263780767572
AFE,1999.0,,,,,,,,2.63418427787336,7.81986477630862,7.72993010885893
AFE,2000.0,,,,,,,,3.18137506041111,8.60148514851491,7.66876829683374
AFE,2001.0,,,,,,,,3.50353308518427,5.84035398311557,7.55388452430262
AFE,2002.0,,,,,,,,3.91711337379634,8.76375520313543,7.51149338877195
AFE,2003.0,,,,,,,,3.00937249317595,7.44970014007366,7.4720424200925
AFE,2004.0,,,,,,,,5.63469800866547,5.02342068616285,7.27852246959678
AFE,2005.0,,,,,,,,6.17365914390395,8.55803802239778,7.10041371887931
AFE,2006.0,,,,,,,,6.63749738735714,8.89816380214033,7.03560059961336
AFE,2007.0,,,,,,,,6.70003329209791,8.45077480635,6.98058891496815
AFE,2008.0,,,,,,,,4.43752919445292,12.5666446595157,6.95926232871186
AFE,2009.0,,,,,,,,0.919472850509038,8.95421802392949,7.0293349336202
AFE,2010.0,,,,,,,,5.30790438645938,5.53753791645676,7.33948885318777
AFE,2011.0,,,,,,,,4.07747696614018,8.97120640995788,7.303350943492
AFE,2012.0,,,,,,,,1.89717291956102,9.15870843167905,7.10873740350119
AFE,2013.0,,,,,,,,4.35668249727492,5.74883133553454,6.88972223038428
AFE,2014.0,,,,,,,,3.92038970191821,5.52581923392517,6.86242857576034
AFE,2015.0,,,,,,,,2.93402965863687,5.09856164363687,6.9309412585873
AFE,2016.0,,,,,,,,2.13011703002091,6.44687722255584,7.07442880999326
AFE,2017.0,,,,,,,,2.67752389715308,6.22137528933118,7.21491501896869
AFE,2018.0,,,,,,,,2.70519413363353,4.6898064677633,7.24484282680542
AFE,2019.0,,,,,,,,2.03007686221603,4.10285075461156,7.45910636823544
AFE,2020.0,,,,,,,,-2.81757208724623,5.19162942092851,7.97430164130982
AFE,2021.0,,,,,,,,4.57877206871177,6.82472709282067,8.40741154700022
AFE,2022.0,,,,,,,,3.72271692296214,10.8834775726018,7.86947018999245
AFE,2023.0,,,,,,,,1.9311603523693,7.39918558080627,7.67654773372157
AFE,2024.0,,,,,,,,2.76383869054277,4.48978854243448,7.57169749274654
AFG,1995.0,,,,,,0.0,0.0,,,7.868
AFG,1996.0,,,,,,-7.0,0.0,,,7.878
AFG,1997.0,,,,,,-7.0,0.0,,,7.863
AFG,1998.0,,,,,,-7.0,0.0,,,7.869
AFG,1999.0,,,,,,-7.0,0.0,,,7.877
AFG,2000.0,,,,,,-7.0,0.0,,,7.897
AFG,2001.0,,,,,,,0.0,-9.4319740700862,,7.973
AFG,2002.0,,,,,,,0.0,28.6000011706788,,7.867
AFG,2003.0,,,,,,,0.0,8.83227780288267,,7.844
AFG,2004.0,,,,,,,0.0,1.41411799339429,,7.794
