country,year,conflict_incidence,conflict_intensity
UGA,2013,1,1
UGA,2014,1,1
UGA,2015,1,1
UGA,2016,1,1
UGA,2017,1,1
UGA,2018,1,1
UGA,2019,1,1
UGA,2020,1,1
UGA,2021,1,1
UGA,2022,1,1
UGA,2023,1,1
UGA,2024,1,1
USA,1995,1,1
USA,1996,1,1
USA,1997,1,1
USA,1998,1,1
USA,1999,1,1
USA,2000,1,2
USA,2001,1,1
USA,2002,1,1
USA,2003,1,1
USA,2004,1,1
USA,2005,1,1
USA,2006,1,1
USA,2007,1,1
USA,2008,1,1
USA,2009,1,1
USA,2010,1,1
USA,2011,1,1
USA,2012,1,1
USA,2013,1,1
USA,2014,1,1
USA,2015,1,1
USA,2016,1,1
USA,2017,1,2
USA,2018,1,1
USA,2019,1,1
USA,2020,1,1
USA,2021,1,1
USA,2022,1,1
USA,2023,1,1
USA,2024,1,1
VIR,1997,1,1
VIR,1998,1,1
VIR,1999,1,1
VIR,2000,1,1
VIR,2001,1,1
VIR,2002,1,1
VIR,2003,1,1
VIR,2004,1,1
VIR,2005,1,1
VIR,2018,1,1
VIR,2019,1,1
VIR,2020,1,1
VIR,2021,1,1
VIR,2022,1,1
VIR,2023,1,1
VIR,2024,1,1
